name_of_publisher,title_of_article,date_published,time_published,link_to_article,number_of_responses,number_of_claps
Medium Creators,Creative Support During the Coronavirus,2020-04-09,19:26:25.951000,https://blog.medium.com/creative-support-during-the-coronavirus-1f6f45117f07,42,1K
Jack Gerard,It Happened on Medium,2016-09-07,20:36:39.980000,https://blog.medium.com/it-happened-on-medium-1f72a4484b13,,104
Ev Williams,A Brief History of Collections,2015-02-04,22:01:37.904000,https://blog.medium.com/a-brief-history-of-collections-1f8096505e79,1,102
Medium Staff,Tips for Formatting Your Title and Headers,2019-10-08,22:54:37.585000,https://blog.medium.com/tips-for-formatting-your-title-and-headers-1ff1a016ef75,36,6K
Medium Legal,Gags on speech erode our users’ trust,2015-02-18,04:16:54.530000,https://blog.medium.com/gags-on-speech-erode-our-users-trust-1ff7a6c5efe4,,50
The Medium Newsletter,Realistic solutions to the U.S. border crisis,2024-03-07,13:32:12.081000,https://blog.medium.com/realistic-solutions-to-the-u-s-border-crisis-20445a2c4934,5,219
Matt Higginson,It Happened on Medium,2015-07-16,12:59:35.981000,https://blog.medium.com/it-happened-on-medium-204b4c10a6db,,1
Kate Lee,In Case You Missed It: April 2016,2016-05-10,23:48:45.783000,https://blog.medium.com/in-case-you-missed-it-on-medium-april-2016-210478d9241e,,71
Medium Staff,"What We’re Reading: Breaking the ice, understanding ‘internet brain,’ and an expert’s advice on building your career",2022-11-04,16:56:52.959000,https://blog.medium.com/what-were-reading-breaking-the-ice-understanding-internet-brain-and-an-expert-s-advice-on-222081f7b6a5,65,5.3K
Andy Doyle,Management and Organization at Medium,2016-03-04,15:31:00.950000,https://blog.medium.com/management-and-organization-at-medium-2228cc9d93e9,79,2.4K
Medium Legal,Firewall With Me,2016-04-19,18:42:29.568000,https://blog.medium.com/firewall-with-me-232936558361,7,101
The Medium Newsletter,What Donald Trump’s conviction says about our two-tiered justice system,2024-06-04,12:32:26.398000,https://blog.medium.com/what-donald-trumps-conviction-says-about-our-two-tiered-justice-system-246161a77f6f,8,135
The Medium Newsletter,"If you’re not paying, are you the product?",2024-06-24,12:32:32.627000,https://blog.medium.com/if-youre-not-paying-are-you-the-product-249d537dca67,7,456
The Medium Newsletter,History is not inevitable,2024-06-28,12:32:38.630000,https://blog.medium.com/history-is-not-inevitable-24e23ad129b0,5,187
Medium Staff,What we’re reading: Dungeons & Dragons & AI,2023-04-07,14:57:14.421000,https://blog.medium.com/what-were-reading-dungeons-dragons-ai-251b292ffb75,37,1.9K
The Medium Newsletter,A winning argument for convincing someone to vote,2024-07-08,12:31:34.130000,https://blog.medium.com/a-winning-argument-for-convincing-someone-to-vote-2524d52e080d,6,155
Kate Lee,March 2015,2015-04-03,15:11:51.271000,https://blog.medium.com/last-month-on-medium-march-2015-25885f2f97e0,,23
The Medium Newsletter,It’s been two years since Russia invaded Ukraine,2024-02-20,13:31:47.671000,https://blog.medium.com/its-been-two-years-since-russia-invaded-ukraine-2591d707365b,10,448
Medium Staff,Evolving the Partner Program,2021-08-11,13:00:02.085000,https://blog.medium.com/evolving-the-partner-program-2613708f9f3c,299,11.2K
Kate Lee,"A Conversation with Refe Tuma, author of ‘Welcome to Dinovember’",2014-10-20,21:51:23.209000,https://blog.medium.com/this-is-a-slightly-edited-version-of-a-post-that-was-originally-published-to-hatch-a-version-of-262d17ecad22,,22
CJ Baker,What does Pride mean to us?,2023-06-30,15:06:32.657000,https://blog.medium.com/what-does-pride-mean-to-us-2772cd6c7341,2,524
Kiran Chandran,A new way to control your recommendations,2021-02-08,20:11:35.960000,https://blog.medium.com/a-new-way-to-control-your-recommendations-2773f9a4632f,17,1.2K
katie zhu,Mixtapes — Project Brief,2014-10-22,01:29:32.905000,https://blog.medium.com/mixtapes-project-brief-27ac1062744,2,28
Jack Gerard,It Happened on Medium,2015-09-01,14:16:36.927000,https://blog.medium.com/it-happened-on-medium-288aafe2374d,,9
Eugenia Dellapenna,"Four Improvements to Our App, Designed for Your Eyes Only",2018-05-03,15:32:25.322000,https://blog.medium.com/four-improvements-to-our-app-designed-for-your-eyes-only-2957919a5921,20,1.3K
The Medium Newsletter,Team development is anything but linear,2024-02-26,13:31:06.440000,https://blog.medium.com/team-development-is-anything-but-linear-296427472eb4,2,490
Penny Shen,Accessibility Improvements,2021-05-10,22:59:36.839000,https://blog.medium.com/accessibility-improvements-297ef1204915,11,893
Medium Legal,Left to Our Own Devices,2016-03-05,05:33:44.021000,https://blog.medium.com/left-to-our-own-devices-299a0115644a,4,136
Medium Staff,Nuance over monolithic narratives,2023-05-01,13:51:13.929000,https://blog.medium.com/nuance-over-monolithic-narratives-2af27e117227,46,2.4K
Ev Williams,We’ve acquired Knowable to bring audio to Medium,2021-11-16,16:00:03.086000,https://blog.medium.com/weve-acquired-knowable-to-accelerate-our-growth-and-bring-audio-to-medium-2b7898e06891,92,7.4K
Jacqueline Yue,Curate and Share Stories with Lists,2021-07-19,16:48:43.367000,https://blog.medium.com/curate-and-share-stories-with-lists-2c27326d096,50,3.4K
elizabeth tobey,Introducing 3 Min Read,2016-08-12,15:14:40.944000,https://blog.medium.com/introducing-3-min-read-2c3cb04d4b33,9,465
Medium Staff,"What We’re Reading: Medium Day is Saturday, August 12. Join us",2023-08-12,03:34:24.658000,https://blog.medium.com/what-were-reading-medium-day-is-saturday-august-12-join-us-2c43bea74e4c,43,1.7K
Adrienne Gibbs,What We’re Reading: One million members and counting,2024-04-13,12:06:01.600000,https://blog.medium.com/what-were-reading-one-million-members-and-counting-2cfb1dafa901,12,831
Adrienne Gibbs,Is ChatGPT Financially Viable?,2023-10-13,18:14:57.359000,https://blog.medium.com/is-chatgpt-financially-viable-2d706ba84192,23,1.1K
The Medium Newsletter,"Everything is a decision, even if it doesn’t feel like it",2024-06-26,12:32:35.917000,https://blog.medium.com/everything-is-a-decision-even-if-it-doesnt-feel-like-it-2dafdd6d5c4a,5,398
Medium Staff,"How Julio Vincent Gambuto joined Medium, went viral, and wound up with a book deal",2023-08-17,13:28:50.586000,https://blog.medium.com/how-julio-vincent-gambuto-joined-medium-went-viral-and-wound-up-with-a-book-deal-2fb7b1f80d45,31,1.6K
Harris Sockel,How Devon Price redefined ‘lazy’ and turned his Medium essay into a book,2023-03-09,16:28:53.546000,https://blog.medium.com/how-devon-price-redefined-lazy-and-turned-his-medium-essay-into-a-book-3029a64a6e5a,38,3.4K
elizabeth tobey,How to Grow Your Audience on Medium,2016-04-26,16:01:02.543000,https://blog.medium.com/how-to-grow-your-audience-on-medium-307f879a3468,106,3.2K
The Medium Newsletter,"Lessons from the birth, death, and resurrection of Clippy",2024-07-03,12:32:40.219000,https://blog.medium.com/lessons-from-the-birth-death-and-resurrection-of-clippy-308d9745eb70,7,353
Harris Sockel,How Apple’s former head of product is sharing decades of business wisdom on Medium,2023-09-14,13:55:14.597000,https://blog.medium.com/how-apples-former-head-of-product-is-sharing-decades-of-business-wisdom-on-medium-331f6bd3909,9,642
The Medium Newsletter,How to avoid feature flop — and more expert advice you’ll hear tomorrow at Medium Day,2024-08-16,12:31:35.379000,https://blog.medium.com/how-to-avoid-feature-flop-and-more-expert-advice-youll-hear-tomorrow-at-medium-day-333676a32c14,5,296
The Medium Newsletter,A very gentle introduction to large language models (without the hype),2024-03-19,12:32:18.960000,https://blog.medium.com/a-very-gentle-introduction-to-large-learning-models-without-the-hype-33603e5266c1,7,392
Medium Staff,"Elevate your brand with a new, customizable About page",2022-02-14,21:03:11.533000,https://blog.medium.com/elevate-your-brand-with-a-new-customizable-about-page-3392eb9fba7d,156,9.5K
